Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\BlueMuse.App.csproj,,,Microsoft.NETCore.UniversalWindowsPlatform 6.2.14,,,,,"Microsoft.NETCore.UniversalWindowsPlatform, 6.2.14  Recommendation:  Remove Microsoft.NETCore.UniversalWindowsPlatform, and replace with new package Microsoft.WindowsAppSDK 2.3.1, Microsoft.Graphics.Win2D 1.1.0, Microsoft.Windows.Compatibility 10.0.10"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\BlueMuse.App.csproj,,,Serilog.Sinks.RollingFile 3.3.0,,,,,"Serilog.Sinks.RollingFile, 3.3.0  Recommendation:  The rolling functionality in this sink has been improved and merged into the Serilog.Sinks.File package. RollingFile will be maintained for the foreseeable future, however File is recommended for new applications. Remove Serilog.Sinks.RollingFile, and replace with new package Serilog.Sinks.RollingFile, 3.3.0"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\BlueMuse.App.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\BlueMuse.App.csproj,,,,,,,,"Current target framework: .NETCore,Version=v5.0 Recommended target framework: net10.0-windows10.0.26100.0"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\MuseManagement\Muse.cs,623,16,T:System.Runtime.InteropServices.WindowsRuntime.WindowsRuntimeBuffer,,,,,"var writeResult = await commandCharacteristic.WriteValueWithResultAsync(WindowsRuntimeBuffer.Create(command, 0, command.Length, command.Length));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\MuseManagement\Muse.cs,623,16,"M:System.Runtime.InteropServices.WindowsRuntime.WindowsRuntimeBuffer.Create(System.Byte[],System.Int32,System.Int32,System.Int32)",,,,,"var writeResult = await commandCharacteristic.WriteValueWithResultAsync(WindowsRuntimeBuffer.Create(command, 0, command.Length, command.Length));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\MuseManagement\Muse.cs,563,20,T:System.Runtime.InteropServices.WindowsRuntime.WindowsRuntimeBufferExtensions,,,,,"char[] chars = Encoding.ASCII.GetChars(args.CharacteristicValue.ToArray(1, length));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\MuseManagement\Muse.cs,563,20,"M:System.Runtime.InteropServices.WindowsRuntime.WindowsRuntimeBufferExtensions.ToArray(Windows.Storage.Streams.IBuffer,System.UInt32,System.Int32)",,,,,"char[] chars = Encoding.ASCII.GetChars(args.CharacteristicValue.ToArray(1, length));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\MuseManagement\Muse.cs,562,20,T:System.Runtime.InteropServices.WindowsRuntime.WindowsRuntimeBufferExtensions,,,,,int length = args.CharacteristicValue.GetByte(0);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\MuseManagement\Muse.cs,562,20,"M:System.Runtime.InteropServices.WindowsRuntime.WindowsRuntimeBufferExtensions.GetByte(Windows.Storage.Streams.IBuffer,System.UInt32)",,,,,int length = args.CharacteristicValue.GetByte(0);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\MuseManagement\Muse.cs,521,20,T:System.Runtime.InteropServices.WindowsRuntime.WindowsRuntimeBufferExtensions,,,,,"char[] chars = Encoding.ASCII.GetChars(args.CharacteristicValue.ToArray(1, length));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\MuseManagement\Muse.cs,521,20,"M:System.Runtime.InteropServices.WindowsRuntime.WindowsRuntimeBufferExtensions.ToArray(Windows.Storage.Streams.IBuffer,System.UInt32,System.Int32)",,,,,"char[] chars = Encoding.ASCII.GetChars(args.CharacteristicValue.ToArray(1, length));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\MuseManagement\Muse.cs,520,20,T:System.Runtime.InteropServices.WindowsRuntime.WindowsRuntimeBufferExtensions,,,,,int length = args.CharacteristicValue.GetByte(0);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BlueMuse.App\BlueMuse.App.csproj,File,BlueMuse.App\MuseManagement\Muse.cs,520,20,"M:System.Runtime.InteropServices.WindowsRuntime.WindowsRuntimeBufferExtensions.GetByte(Windows.Storage.Streams.IBuffer,System.UInt32)",,,,,int length = args.CharacteristicValue.GetByte(0);
